Date,Weight,"Fat mass",Comments
"2016-04-07 09:00:15",257,,
"2016-04-06 08:52:15",258,,
"2016-04-05 09:09:09",258,,
"2016-04-04 08:17:25",258,,
"2016-04-02 10:39:39",257,,
"2016-04-01 09:35:56",258,,
"2016-03-31 09:19:31",259,,
"2016-03-30 08:12:21",258,,
"2016-03-29 11:05:23",258,,
"2016-03-28 11:50:19",261,,
"2016-03-27 10:52:52",258,,
"2016-03-26 10:10:57",261,,
"2016-03-25 09:59:31",259,,
"2016-03-24 09:34:19",264,,
"2016-03-23 09:58:48",261,,
"2016-03-22 10:18:18",255,,
"2016-03-22 10:17:57",254,,
"2016-03-21 10:38:39",261,,
"2016-03-20 12:45:11",259,,
"2016-03-19 12:15:48",258,,
"2016-03-18 08:32:18",259,,
"2016-03-17 10:18:51",257,,
"2016-03-16 10:12:00",258,,
"2016-03-15 11:43:51",263,,
"2016-03-14 08:56:55",263,,
"2016-03-13 11:41:58",262,,
"2016-03-13 11:41:32",262,,
"2016-03-12 10:29:49",257,,
"2016-03-11 10:55:28",257,,
"2016-03-10 10:26:02",257,,
"2016-03-10 10:25:35",257,,
"2016-03-09 12:45:02",257,,
"2016-03-09 12:44:35",257,,
"2016-03-08 11:39:43",257,,
"2016-03-08 11:36:50",257,,
"2016-03-07 09:49:25",262,,
"2016-03-06 11:29:40",260,,
"2016-03-05 10:18:33",262,,
"2016-03-04 09:27:18",261,,
"2016-03-03 09:48:17",259,,
"2016-03-02 09:57:39",260,,
"2016-03-02 09:55:34",262,,
"2016-03-01 09:07:22",260,,
"2016-02-29 08:13:04",259,,
"2016-02-28 10:09:41",260,,
"2016-02-27 17:52:12",262,,
"2016-02-25 10:29:27",266,,
"2016-02-23 21:46:25",269,,
"2016-02-22 23:03:35",270,,
"2016-02-21 12:30:00",266,,
"2016-02-20 15:10:37",262,,
"2016-02-20 15:10:04",261,,
"2016-02-19 23:01:00",268,,
"2016-02-18 01:15:35",269,,
"2016-02-16 22:26:53",269,,
"2016-02-15 22:27:48",267,,
"2016-02-15 09:27:37",270,,
"2016-02-14 09:34:49",264,,
"2016-02-12 22:00:27",271,,
"2016-02-11 12:12:58",269,,
"2016-02-11 12:12:37",269,,
"2016-02-10 23:42:16",268,,
"2016-02-10 00:40:37",261,,
"2016-02-10 00:40:07",261,,
"2016-02-09 10:04:08",267,,
"2016-02-08 23:17:17",267,,
"2016-02-08 09:12:54",263,,
"2016-02-07 10:58:59",262,,
"2016-02-06 23:33:28",270,,
"2016-02-06 01:47:50",269,,
"2016-02-04 22:13:20",265,,
"2016-02-04 22:11:48",269,,
"2016-02-04 00:22:39",264,,
"2016-02-03 19:31:05",263,,
"2016-02-02 15:58:53",268,,
"2016-02-01 00:07:57",265,,
"2016-02-01 00:06:42",266,,
